Date,Open,High,Low,Close,Volume
12/15/2009,276.81,276.81,273.43,273.89,"15,423,130"
12/16/2009,273.89,276.1,273.29,274.13,"14,005,886"
12/17/2009,274.13,274.13,270.48,270.48,"15,287,856"
12/18/2009,270.48,272.5,269.24,271.45,"51,345,170"
12/21/2009,271.46,274.26,271.46,273.67,"14,502,033"
12/22/2009,273.67,276.2,273.48,276.04,"13,981,674"
12/23/2009,276.03,277.47,275.36,277.08,"10,140,910"
12/24/2009,277.06,279.51,277.06,279.51,"4,875,904"
12/28/2009,279.51,279.62,278.51,279.33,"8,671,125"
12/29/2009,279.33,280.03,279.01,279.47,"8,117,922"
12/30/2009,279.47,280.35,278.22,280.14,"7,262,010"
12/31/2009,280.14,281.54,277.82,277.83,-
1/4/2010,277.88,280.42,277.88,279.16,"13,113,866"
1/5/2010,279.11,279.13,275.76,276.96,"16,372,695"
1/6/2010,276.94,276.94,273.91,274.91,"13,269,266"
1/7/2010,274.91,277.43,274.19,277.01,"17,722,449"
1/8/2010,277.01,277.01,275.1,276.41,"11,264,771"
1/11/2010,276.45,277.18,275.26,276.69,"12,018,588"
1/12/2010,276.67,277.9,275.61,276.06,"16,041,739"
1/13/2010,276.07,279.11,276.07,278.57,"12,552,398"
1/14/2010,278.55,279.49,276.43,279.24,"11,548,979"
1/15/2010,279.25,279.25,274.43,275.52,"16,637,019"
1/19/2010,275.52,279.8,275.3,279.75,"11,715,631"
1/20/2010,279.73,279.73,275.54,277.98,"10,740,265"
1/21/2010,277.99,278.83,273.29,275.81,"16,539,701"
1/22/2010,275.81,276.07,270.16,270.43,"17,640,767"
1/25/2010,270.48,273.87,270.48,272.93,"12,385,288"
1/26/2010,272.93,278.62,272.77,274.08,"13,845,016"
1/27/2010,274.07,276.51,272.37,276.51,"13,604,202"
1/28/2010,276.53,276.98,272.7,273.56,"11,327,958"
1/29/2010,273.58,276.7,272.91,273.79,"16,638,961"
2/1/2010,273.79,275.26,272.99,274.53,"11,897,713"
2/2/2010,274.52,277.5,273.49,277.5,"13,274,250"
2/3/2010,277.46,277.46,274.34,274.77,"11,640,028"
2/4/2010,274.7,274.82,268.33,268.39,"19,683,961"
2/5/2010,268.39,270.43,264.92,270.12,"17,896,554"
2/8/2010,270.11,270.23,266.36,266.39,"14,054,518"
2/9/2010,266.41,270.32,266.41,269.71,"14,229,558"
2/10/2010,269.68,271.09,267.93,270.2,"13,556,716"
2/11/2010,270.2,272.89,268.31,272.41,"13,371,699"
2/12/2010,272.4,274.08,268.74,273.99,-
2/16/2010,274,278.94,273.56,278.94,"14,843,505"
2/17/2010,278.95,279.54,278.19,279.45,"12,535,747"
2/18/2010,279.45,284.12,279.17,283.83,"16,275,523"
2/19/2010,283.94,285.17,282.5,284.75,"15,583,320"
2/22/2010,284.75,285.79,284.23,285.41,"10,635,413"
2/23/2010,285.41,286.34,282.79,282.9,"14,494,354"
2/24/2010,282.9,285.16,282.78,285.16,"12,515,756"
2/25/2010,285.15,285.28,282.43,285.04,"12,812,769"
2/26/2010,285.08,285.65,282.97,283.96,"20,438,513"
3/1/2010,284.01,287,284.01,286.48,"10,854,149"
3/2/2010,286.49,288.41,286.38,287.87,"14,943,566"
3/3/2010,287.9,289.28,287.35,287.53,"12,031,091"
3/4/2010,287.5,288.76,287.29,288.55,"13,311,213"
3/5/2010,288.55,291,287.86,290.82,"16,048,113"
3/8/2010,290.85,291.66,290.21,291.2,"12,177,438"
3/9/2010,291.2,291.35,289.18,289.99,"13,022,343"
3/10/2010,290.01,290.09,287.63,288.96,"15,747,027"
3/11/2010,288.95,290.75,287.76,290.75,"13,621,996"
3/12/2010,290.79,292.15,288.91,289.61,"12,245,132"
3/15/2010,289.61,289.62,287,289.03,"12,142,627"
3/16/2010,289.04,290.7,288.66,290.7,"11,251,434"
3/17/2010,290.7,294.7,290.69,292.88,"12,890,806"
3/18/2010,292.88,293.71,292.07,293.25,"11,860,799"
3/19/2010,293.25,293.94,291.85,293.32,"31,155,419"
3/22/2010,293.31,293.51,291.45,292.59,"11,871,479"
3/23/2010,292.58,295.01,291.92,295.01,"11,121,531"
3/24/2010,295.01,296.16,293.35,295.15,"15,678,015"
3/25/2010,295.15,298.21,294.71,294.77,"15,560,625"
3/26/2010,294.78,298.46,294.77,296.83,"13,495,827"
3/29/2010,296.86,297.97,296.77,297.79,"10,299,855"
3/30/2010,297.79,297.86,295.73,295.87,"9,079,480"
3/31/2010,295.88,297.4,294.79,296.33,"14,036,025"
4/1/2010,296.35,298.7,296.33,297.94,-
4/5/2010,297.96,298.65,297.45,298.36,"11,857,510"
4/6/2010,298.35,298.35,297.13,298.11,"12,957,646"
4/7/2010,298.12,300.25,296.96,298.76,"14,348,762"
4/8/2010,298.75,298.8,297.04,298.48,"12,078,630"
4/9/2010,298.5,299.48,297.72,298.89,"13,079,747"
4/12/2010,298.89,299.37,297.56,298.66,"10,530,111"
4/13/2010,298.66,300.24,298.45,299.82,"14,861,587"
4/14/2010,299.82,306.14,299.82,306.14,"15,801,211"
4/15/2010,306.15,306.61,304.85,305.95,"13,315,750"
4/16/2010,305.94,307.05,301.44,301.52,"26,275,837"
4/19/2010,301.5,304.09,299.95,303.97,"18,266,958"
4/20/2010,303.98,307.24,303.32,307.18,"14,686,973"
4/21/2010,307.22,307.3,303.64,305.46,"16,838,007"
4/22/2010,305.46,307.8,302.34,307.75,"17,494,520"
4/23/2010,307.76,310.11,306.56,310.02,"14,265,393"
4/26/2010,310.02,310.17,306.94,306.96,"13,094,237"
4/27/2010,307.02,307.02,297.74,298.15,"21,273,175"
4/28/2010,298.16,302.93,298.16,301.55,"20,397,439"
4/29/2010,301.55,303.58,299.85,302.53,"20,023,831"
4/30/2010,302.5,302.51,298.58,298.76,"19,087,323"
5/3/2010,298.77,301.22,298.76,300.74,"13,901,039"
5/4/2010,300.68,300.68,292.48,293.61,"20,837,731"
5/5/2010,293.59,297,291.56,294.78,"20,460,902"
5/6/2010,294.77,296.34,279.7,286.75,"35,483,787"
5/7/2010,286.74,290.36,282.31,283.79,"31,812,237"
